wave,period,age_group_scheme,ego_age_group,alter_age_group,ego_population_size,ego_sample_size_LFS,ego_sample_size_DCS,reciprocity,cores_LFS,cores_DCS,noncores_DCS,all_LFS_DCS,all_DCS_DCS
1,"[2020-05-14, 2020-06-10]",10y10y,0-9,0-9,4301423.79,12623,0,none,0.6116327961258614,0.30404908300067796,0.10775717842523895,0.7193899745511003,0.4118062614259169
1,"[2020-05-14, 2020-06-10]",10y10y,0-9,0-9,4301423.79,12623,0,unweighted,0.6116327961258614,0.30404908300067796,0.10775717842523895,0.7193899745511003,0.4118062614259169
1,"[2020-05-14, 2020-06-10]",10y10y,0-9,0-9,4301423.79,12623,0,weighted,0.6116327961258614,0.30404908300067796,0.10775717842523895,0.7193899745511003,0.4118062614259169
1,"[2020-05-14, 2020-06-10]",10y10y,0-9,10-19,4301423.79,12623,0,none,0.3173297021263743,0.4107436203878901,0.05543205660336074,0.37276175872973505,0.46617567699125084
1,"[2020-05-14, 2020-06-10]",10y10y,0-9,10-19,4301423.79,12623,0,unweighted,0.31501611237427035,0.3832339927078024,0.0980748543187353,0.41309096669300566,0.4813088470265377
1,"[2020-05-14, 2020-06-10]",10y10y,0-9,10-19,4301423.79,12623,0,weighted,0.31474908488150827,0.35572436502771476,0.14071765203410985,0.4554667369156181,0.4964420170618246
1,"[2020-05-14, 2020-06-10]",10y10y,0-9,20-29,4301423.79,12623,0,none,0.14478083313897327,0.5436288130616079,0.2744346753538382,0.4192155084928115,0.8180634884154461
1,"[2020-05-14, 2020-06-10]",10y10y,0-9,20-29,4301423.79,12623,0,unweighted,0.16595911838763508,0.3092253473594963,0.18942831010641872,0.3553874284940538,0.49865365746591506
1,"[2020-05-14, 2020-06-10]",10y10y,0-9,20-29,4301423.79,12623,0,weighted,0.16640584142661421,0.07482188165738465,0.10442194485899926,0.2708277862856135,0.17924382651638393
1,"[2020-05-14, 2020-06-10]",10y10y,0-9,30-39,4301423.79,12623,0,none,0.8479861315873737,0.37364987607458044,0.4913622446309846,1.3393483762183582,0.865012120705565
1,"[2020-05-14, 2020-06-10]",10y10y,0-9,30-39,4301423.79,12623,0,unweighted,0.8838706462354875,0.6376226387708577,0.4219830852456419,1.3058537314811294,1.0596057240164996
1,"[2020-05-14, 2020-06-10]",10y10y,0-9,30-39,4301423.79,12623,0,weighted,0.8868453796860468,0.9015954014671349,0.35260392586029915,1.239449305546346,1.254199327327434
1,"[2020-05-14, 2020-06-10]",10y10y,0-9,40-49,4301423.79,12623,0,none,0.8821608065733045,0.4499098053888075,0.564462453798062,1.4466232603713665,1.0143722591868696
1,"[2020-05-14, 2020-06-10]",10y10y,0-9,40-49,4301423.79,12623,0,unweighted,0.863663859077694,0.8149414815447387,0.4621649040864005,1.3258287631640946,1.277106385631139
1,"[2020-05-14, 2020-06-10]",10y10y,0-9,40-49,4301423.79,12623,0,weighted,0.8581312074308947,1.1799731577006698,0.3598673543747388,1.2179985618056335,1.5398405120754086
1,"[2020-05-14, 2020-06-10]",10y10y,0-9,50-59,4301423.79,12623,0,none,0.11765821381668604,0.6649817753666227,0.5522575237758626,0.6699157375925486,1.2172392991424852
1,"[2020-05-14, 2020-06-10]",10y10y,0-9,50-59,4301423.79,12623,0,unweighted,0.11627760467656686,0.4218711737524417,0.32987916759272845,0.4461567722692953,0.7517503413451702
1,"[2020-05-14, 2020-06-10]",10y10y,0-9,50-59,4301423.79,12623,0,weighted,0.11584980870042486,0.17876057213826063,0.10750081140959437,0.22335062011001922,0.286261383547855
1,"[2020-05-14, 2020-06-10]",10y10y,0-9,60+,4301423.79,12623,0,none,0.09876443957641293,0.645938799321249,0.412008544204879,0.5107729837812919,1.057947343526128
1,"[2020-05-14, 2020-06-10]",10y10y,0-9,60+,4301423.79,12623,0,unweighted,0.09754838641462947,0.38255101519435014,0.33384641705490764,0.4313948034695371,0.7163974322492578
1,"[2020-05-14, 2020-06-10]",10y10y,0-9,60+,4301423.79,12623,0,weighted,0.09687435189874535,0.1191632310674513,0.25568428990493636,0.3525586418036817,0.37484752097238766
1,"[2020-05-14, 2020-06-10]",10y10y,10-19,0-9,4948064.57,15917,47,none,0.27183680628484597,0.30923631346485364,0.12232788145132513,0.3941646877361711,0.43156419491617876
1,"[2020-05-14, 2020-06-10]",10y10y,10-19,0-9,4948064.57,15917,47,unweighted,0.27384804317539446,0.3331508289856508,0.08525788327927827,0.35910592645467276,0.41840871226492904
